title,content,slug,sc_category,sc_tag,duration,embed_url,external_id,source_site,views_count,featured
"Step Sister Caught – Secret Session",,normal-step-sis-caught-01,Normal,"amateur,step,sister,caught,secret",12:45,https://www.pornhub.com/view_video.php?viewkey=ph5a1b2c3d4e,ph5a1b2c3d4e,ph,15420,1
"Morning Yoga – Flexible Babe",,normal-morning-yoga-02,Normal,"yoga,flexible,babe,outdoor,morning",08:30,https://www.xvideos.com/video6543210/morning_yoga_flexible_babe,xv6543210,xv,8920,0
"Massage Room – Happy Ending",,normal-massage-03,Normal,"massage,happy,ending,relax,therapy",18:20,https://www.pornhub.com/view_video.php?viewkey=ph5e6f7g8h9i,ph5e6f7g8h9i,ph,23100,0
"Stranger Creampie – Casting Couch",,normal-stranger-creampie-04,Normal,"stranger,creampie,casting,couch,amateur",15:10,https://www.xhamster.com/videos/stranger-creampie-casting-xhABCD123,stranger-creampie-casting-xhABCD123,xh,6720,0
"Lesbian Lovers – Passionate Night",,normal-lesbian-lovers-05,Normal,"lesbian,lovers,passionate,night,romantic",22:05,https://www.pornhub.com/view_video.php?viewkey=ph0j1k2l3m4n,ph0j1k2l3m4n,ph,32100,1
"Bathroom Spy Cam – Hidden",,normal-bathroom-spy-06,Normal,"spy,cam,hidden,bathroom,secret",06:45,https://www.redtube.com/video/red789012/bathroom-spy-cam,red789012,rb,4410,0
"Gangbang Party – 5 Guys 1 Girl",,normal-gangbang-party-07,Normal,"gangbang,party,group,extreme,hardcore",35:00,https://www.xvideos.com/video3456789/gangbang_party_5_girls,3456789,xv,54200,1
"Interracial Threesome – BBC",,normal-interracial-08,Normal,"interracial,threesome,bbc,dp,double",28:15,https://www.pornhub.com/view_video.php?viewkey=ph5p6q7r8s9t,ph5p6q7r8s9t,ph,18500,0
"Milf Seduces Young Neighbor",,normal-milf-seduces-09,Normal,"milf,seduces,young,neighbor,cougar",20:30,https://www.youporn.com/watch/yp234567/milf-seduces-young-neighbor,yp234567,yp,9800,0
"POV Blowjob – Perfect Technique",,normal-pov-blowjob-10,Normal,"pov,blowjob,oral,technique,closeup",10:00,https://www.eporner.com/video-ep123456/pov-blowjob-perfect-technique,ep123456,ep,12550,0
"Tentacle Monster – Deep Invasion",,hentai-tentacle-01,Hentai,"tentacle,monster,deep,invasion,fantasy",16:30,https://www.pornhub.com/view_video.php?viewkey=ph8h9e0n1t2a,ph8h9e0n1t2a,ph,28500,1
"Futanari Nurse – Hospital Visit",,hentai-futanari-nurse-02,Hentai,"futanari,nurse,hospital,roleplay,uniform",14:45,https://www.xvideos.com/video9876543/futanari_nurse_hospital,9876543,xv,15200,0
"2D Animated – School Girl Fantasy",,hentai-2d-school-03,Hentai,"2d,animated,school,girl,fantasy,vanilla",12:00,https://www.xhamster.com/videos/2d-animated-school-girl-xh5678EFG,2d-animated-school-girl-xh5678EFG,xh,22300,1
"NTR – Wife's Secret Lover",,hentai-ntr-wife-04,Hentai,"ntr,wife,secret,lover,cheating,netorare",20:00,https://www.pornhub.com/view_video.php?viewkey=ph3n4t5r6a7b,ph3n4t5r6a7b,ph,34100,0
"3D CGI – Virtual Girlfriend VR",,hentai-3d-cgi-vr-05,Hentai,"3d,cgi,virtual,girlfriend,vr,simulation",25:30,https://www.redtube.com/video/red345678/3d-cgi-virtual-girlfriend,red345678,rb,19800,0
"Doujin Reading – Exorcist Love",,hentai-doujin-06,Hentai,"doujin,manga,reading,exorcist,love,story",30:00,https://www.xvideos.com/video1112233/doujin_exorcist_love,1112233,xv,8900,0
"Game Hentai – Overwatch Parody",,hentai-game-overwatch-07,Hentai,"game,hentai,overwatch,parody,cosplay",18:00,https://www.youporn.com/watch/yp789012/overwatch-hentai-parody,yp789012,yp,41200,1
"Vanilla Romance – Childhood Friends",,hentai-vanilla-08,Hentai,"vanilla,romance,childhood,friends,sweet,wholesome",15:00,https://www.eporner.com/video-ep789012/vanilla-romance-childhood-friends,ep789012,ep,11200,0
"Yaoi Love – Forbidden Affair",,hentai-yaoi-09,Hentai,"yaoi,love,forbidden,affair,bl,boys",20:30,https://www.pornhub.com/view_video.php?viewkey=ph5y6a7o8i9z,ph5y6a7o8i9z,ph,14500,0
"Futanari Domination – Office Queen",,hentai-futanari-office-10,Hentai,"futanari,domination,office,queen,boss",22:15,https://www.xhamster.com/videos/futanari-office-queen-xh9012JKL,futanari-office-queen-xh9012JKL,xh,18900,0
"JAV Uncensored – Hot Springs Trip",,jav-uncensored-springs-01,JAV,"uncensored,jav,hot,springs,trip,onsen",35:10,https://www.pornhub.com/view_video.php?viewkey=ph1j2a3v4u5n,ph1j2a3v4u5n,ph,45100,1
"JAV Censored – Office Lady Bondage",,jav-censored-bondage-02,JAV,"censored,jav,office,lady,bondage,bdsm",28:00,https://www.xvideos.com/video5556667/jav_censored_office_bondage,5556667,xv,23200,0
"JAV Idol Solo – Yua Mikami Dance",,jav-idol-solo-03,JAV,"idol,solo,dance,strip,yua,mikami",15:00,https://www.xhamster.com/videos/yua-mikami-solo-dance-xh3456MNO,yua-mikami-solo-dance-xh3456MNO,xh,38700,1
"JAV Studio – Max-A Pure Love",,jav-studio-maxa-04,JAV,"studio,max-a,pure,love,affair,high-quality",40:00,https://www.pornhub.com/view_video.php?viewkey=ph5s6t7u8d9i,ph5s6t7u8d9i,ph,11200,0
"JAV Compilation – Best Orgasms 2025",,jav-compilation-best-05,JAV,"compilation,best,orgasms,2025,top",60:00,https://www.redtube.com/video/red901234/jav-compilation-best-orgasms,red901234,rb,62300,1
"JAV Amateur – Hidden Camera Massage",,jav-amateur-hidden-06,JAV,"amateur,jav,hidden,camera,massage,spy",22:30,https://www.youporn.com/watch/yp345678/jav-amateur-hidden-massage,yp345678,yp,15400,0
"JAV Classic – 2000s Retro Collection",,jav-classic-retro-07,JAV,"classic,retro,2000s,collection,vintage",45:00,https://www.eporner.com/video-ep345678/jav-classic-retro-2000s,ep345678,ep,8900,0
"JAV Uncensored – Creampie Compilation",,jav-uncensored-creampie-08,JAV,"uncensored,creampie,compilation,jav,raw",30:00,https://www.xhamster.com/videos/jav-uncensored-creampie-xh7890PQR,jav-uncensored-creampie-xh7890PQR,xh,29500,0
"JAV Censored – School Girl Seduction",,jav-censored-school-09,JAV,"censored,jav,school,girl,uniform,teacher",26:00,https://www.xvideos.com/video9990001/jav_censored_school_seduction,9990001,xv,20800,0
"JAV Uncensored – Gangbang Queen",,jav-uncensored-gangbang-10,JAV,"uncensored,jav,gangbang,queen,extreme,group",38:00,https://www.pornhub.com/view_video.php?viewkey=ph0g1a2n3g4b,ph0g1a2n3g4b,ph,52100,1
